,YearBuilt,price_mean
0,1961,139846.42857142858
1,1958,143179.16666666666
2,1997,214925.0
3,1998,220450.0
4,1992,218384.61538461538
5,1993,218058.82352941178
6,1992,218384.61538461538
7,1998,220450.0
8,1990,220881.66666666666
9,1970,134647.91666666666
10,1999,210614.72
11,1971,131820.45454545456
12,1971,131820.45454545456
13,1975,159268.75
14,1975,159268.75
15,2009,269220.0
16,2009,269220.0
17,2005,229680.953125
18,2005,229680.953125
19,2003,227408.57777777777
20,2002,226869.5652173913
21,2006,251775.44776119402
22,2005,229680.953125
23,2006,251775.44776119402
24,2004,210347.72222222222
25,2004,210347.72222222222
26,1998,220450.0
27,2005,229680.953125
28,2009,269220.0
29,2005,229680.953125
30,2004,210347.72222222222
31,1920,112903.33333333333
32,1974,183050.0
33,1993,218058.82352941178
34,1992,218384.61538461538
35,2004,210347.72222222222
36,2004,210347.72222222222
37,2004,210347.72222222222
38,2004,210347.72222222222
39,2005,229680.953125
40,2000,210766.66666666666
41,2003,227408.57777777777
42,2010,394432.0
43,2000,210766.66666666666
44,2002,226869.5652173913
45,1967,142337.5
46,1993,218058.82352941178
47,1978,160962.5
48,1971,131820.45454545456
49,1966,159559.44444444444
50,1966,159559.44444444444
51,1967,142337.5
52,1964,161893.33333333334
53,1962,145742.1052631579
54,1952,110398.6
55,1949,111517.58333333333
56,1966,159559.44444444444
57,1958,143179.16666666666
58,2003,227408.57777777777
59,1959,154124.3076923077
60,1959,154124.3076923077
61,1959,154124.3076923077
62,1956,135810.7142857143
63,1952,110398.6
64,1955,134517.1875
65,1958,143179.16666666666
66,1920,112903.33333333333
67,1948,137764.2857142857
68,1960,161550.0
69,1963,143403.125
70,1900,112492.6
71,1920,112903.33333333333
72,1957,149959.1
73,1938,109137.5
74,1948,137764.2857142857
75,1920,112903.33333333333
76,1923,159428.57142857142
77,1900,112492.6
78,1890,142200.0
79,1910,111959.05882352941
80,1922,109237.5
81,1950,128036.25
82,1922,109237.5
83,1925,129190.625
84,1939,150825.0
85,1940,131994.44444444444
86,1942,162000.0
87,1948,137764.2857142857
88,1936,137888.88888888888
89,1930,103588.88888888889
90,1923,159428.57142857142
91,1915,134387.5
92,1912,119466.66666666667
93,1920,112903.33333333333
94,1959,154124.3076923077
95,1917,129500.0
96,1915,134387.5
97,1940,131994.44444444444
98,1907,
99,1910,111959.05882352941
100,1967,142337.5
101,1966,159559.44444444444
102,1968,166075.0
103,1978,160962.5
104,1968,166075.0
105,1977,166860.9375
106,1927,82666.66666666667
107,1978,160962.5
108,1938,109137.5
109,1950,128036.25
110,1947,117200.0
111,1954,139650.0
112,2009,269220.0
113,1964,161893.33333333334
114,1987,198000.0
115,1993,218058.82352941178
116,2010,394432.0
117,1900,112492.6
118,1996,259162.66666666666
119,1997,214925.0
120,1977,166860.9375
121,1972,140569.5652173913
122,2003,227408.57777777777
123,1997,214925.0
124,2003,227408.57777777777
125,1945,133500.0
126,1954,139650.0
127,1968,166075.0
128,1948,137764.2857142857
129,1975,159268.75
130,1958,143179.16666666666
131,1924,105985.71428571429
132,1939,150825.0
133,1967,142337.5
134,1931,126650.0
135,1941,120900.0
136,1950,128036.25
137,1994,247900.0
138,1989,279500.0
139,1989,279500.0
140,1941,120900.0
141,1921,140813.33333333334
142,1896,
143,2004,210347.72222222222
144,1998,220450.0
145,1977,166860.9375
146,1976,163831.9696969697
147,2008,348849.1304347826
148,2009,269220.0
149,2006,251775.44776119402
150,1965,153115.95833333334
151,2004,210347.72222222222
152,1999,210614.72
153,1973,139400.0
154,1970,134647.91666666666
155,1970,134647.91666666666
156,1972,140569.5652173913
157,1971,131820.45454545456
158,1984,164111.11111111112
159,1985,191400.0
160,1991,186140.0
161,1969,160725.64285714287
162,1994,247900.0
163,1993,218058.82352941178
164,1956,135810.7142857143
165,1974,183050.0
166,1997,214925.0
167,2003,227408.57777777777
168,1996,259162.66666666666
169,2004,210347.72222222222
170,1998,220450.0
171,1995,262194.44444444444
172,1998,220450.0
173,1998,220450.0
174,1994,247900.0
175,1993,218058.82352941178
176,1977,166860.9375
177,1978,160962.5
178,1978,160962.5
179,1980,164800.0
180,1978,160962.5
181,2003,227408.57777777777
182,2000,210766.66666666666
183,2002,226869.5652173913
184,1975,159268.75
185,1974,183050.0
186,1975,159268.75
187,1970,134647.91666666666
188,1971,131820.45454545456
189,1970,134647.91666666666
190,1971,131820.45454545456
191,1973,139400.0
192,1972,140569.5652173913
193,1976,163831.9696969697
194,1975,159268.75
195,1977,166860.9375
196,1978,160962.5
197,1978,160962.5
198,1976,163831.9696969697
199,1966,159559.44444444444
200,2007,255362.73469387754
201,2009,269220.0
202,2008,348849.1304347826
203,2007,255362.73469387754
204,2008,348849.1304347826
205,2004,210347.72222222222
206,2007,255362.73469387754
207,2008,348849.1304347826
208,2006,251775.44776119402
209,2008,348849.1304347826
210,2003,227408.57777777777
211,2003,227408.57777777777
212,2003,227408.57777777777
213,2006,251775.44776119402
214,2005,229680.953125
215,2005,229680.953125
216,2007,255362.73469387754
217,2004,210347.72222222222
218,2003,227408.57777777777
219,2008,348849.1304347826
220,2008,348849.1304347826
221,2002,226869.5652173913
222,2003,227408.57777777777
223,2005,229680.953125
224,2005,229680.953125
225,2005,229680.953125
226,2004,210347.72222222222
227,2004,210347.72222222222
228,2004,210347.72222222222
229,2003,227408.57777777777
230,2003,227408.57777777777
231,2002,226869.5652173913
232,2004,210347.72222222222
233,2000,210766.66666666666
234,1999,210614.72
235,1999,210614.72
236,1999,210614.72
237,2000,210766.66666666666
238,1994,247900.0
239,1995,262194.44444444444
240,1993,218058.82352941178
241,2008,348849.1304347826
242,2008,348849.1304347826
243,2007,255362.73469387754
244,2006,251775.44776119402
245,2005,229680.953125
246,2008,348849.1304347826
247,2008,348849.1304347826
248,2007,255362.73469387754
249,2006,251775.44776119402
250,2006,251775.44776119402
251,2008,348849.1304347826
252,2006,251775.44776119402
253,2003,227408.57777777777
254,2003,227408.57777777777
255,2007,255362.73469387754
256,2006,251775.44776119402
257,2004,210347.72222222222
258,2004,210347.72222222222
259,2004,210347.72222222222
260,2004,210347.72222222222
261,2004,210347.72222222222
262,2003,227408.57777777777
263,2008,348849.1304347826
264,1996,259162.66666666666
265,1992,218384.61538461538
266,1990,220881.66666666666
267,1994,247900.0
268,1986,212000.0
269,1981,249880.0
270,1962,145742.1052631579
271,1961,139846.42857142858
272,1961,139846.42857142858
273,1965,153115.95833333334
274,1963,143403.125
275,1962,145742.1052631579
276,1980,164800.0
277,1991,186140.0
278,2004,210347.72222222222
279,2008,348849.1304347826
280,2008,348849.1304347826
281,2000,210766.66666666666
282,1999,210614.72
283,1977,166860.9375
284,1981,249880.0
285,1976,163831.9696969697
286,1974,183050.0
287,1967,142337.5
288,1969,160725.64285714287
289,1969,160725.64285714287
290,1977,166860.9375
291,1967,142337.5
292,1967,142337.5
